	Richness	Shannon	Shannon.effective	Simpson	Simpson.effective
X122.o	1094	5.92315364649879	373.59	0.00713892680579193	140.08
X14.o	244	3.17245833176253	23.87	0.126625349114209	7.9
X155.o	157	4.73414367783287	113.77	0.0105292941595342	94.97
X157.o	827	4.91889130556349	136.85	0.0248358086702751	40.26
X16.o	126	3.85042225507773	47.01	0.0462651342995633	21.61
X20.o	287	4.18929313222123	65.98	0.0343059625282035	29.15
X23.o	498	3.45733723302278	31.73	0.0770632359444208	12.98
X25.o	334	4.77383906477841	118.37	0.0187682272654729	53.28
X29.o	139	3.05346604130295	21.19	0.105149496457012	9.51
X3.o	351	4.09072387580109	59.78	0.0573487790582366	17.44
X31.o	335	3.52297773124153	33.89	0.0791707870310698	12.63
X32.o	128	3.11456725064036	22.52	0.0853121861713054	11.72
X33.o	362	3.24261510853349	25.6	0.137919250180322	7.25
X37.o	243	3.50464423449633	33.27	0.0791651551839695	12.63
X39.o	121	2.85760863812535	17.42	0.167993831152846	5.95
X43.o	150	3.22531562248236	25.16	0.11008188769147	9.08
X46.o	294	3.29845386765929	27.07	0.0925977789277782	10.8
X48.o	180	3.92995263815725	50.9	0.0411944246918083	24.28
X5.o	690	4.23767661519462	69.25	0.0594117728407888	16.83
X56.o	493	3.89254197410073	49.04	0.0892022488910851	11.21
X57.o	124	2.55256065979569	12.84	0.223418481179061	4.48
X6.o	467	3.01543527173411	20.4	0.132755120732682	7.53
X65.o	113	2.45878813883165	11.69	0.262787290362806	3.81
X75.o	684	5.67299882179147	290.91	0.00662280647050626	150.99
X8.o	203	4.57020104501656	96.56	0.0220402089882864	45.37
X81.o	15	2.15114108181869	8.59	0.172502314619982	5.8
X83.o	352	3.91998883742754	50.4	0.0828501043835557	12.07
